tweets,class
kirkpatrick who wore a baseball cap embroidered with barack obama's signature and had the hangdog look of jason segel courier journal,0
obama debates that cracker ass cracker tonight i will be tuned in teamobama,1
youre missing the point im afraid you do not understand the bigger picture if you dont care if obama re elected,0
i was raised as a democrat left the party years ago 1980 but in my lifetime i have never seen a president divide the country like obama,-1
the obama camp can't afford to lower expectations for tonight's debate the president must give a strong performance,0
obama pot policy disappointing to say the least 420 legaizeit via,-1
not all of hollywood has his back rt gene simmons yanks obama support calls him a pisspoor president,-1
obama's expedient speak fair in order to slenderizing biscuittaiwan tensions gjn,0
i had a dream that i was smoking with obama oo,0
the washington times the presidents popularity bubble has burst barack obama fox nation obama2012 ofa tcot,-1
obama's priorities 30k for gaydar research not security for our embassy in libya tlot tcot p2,-1
united states of islam does obama really think that weirdoooooo,-1
they created this debt now plame obama handing out money to billionaires and two wars u braked u owned,-1
obama has not kept one of his 5 promises of the 2008 town hall debates why believe him tonight,-1
this sub is here talking shit about obama,0
obama ist tot,0
when you go against your own ideas to hurt obama and america for electing a blk pres you've shown your whole hand dumbass,0
still my idol mr president obama,1
pretty creepy no wonder obama always has starbursts in his pocket some equally realistic theories here,0
just saw a truck with a nasa sticker and an obama sticker new bff,0
debate 2 tonight i hope obama brings a lot of energy tonight this debate is crucial obama2012,0
you said so much good things about obama when the small business owner picked him up,1
hillary taken the spaken for obama's ignorance attaboy obama the more blind people that have ur back the better off u will be spineless,-1
i'm a south african and i say obama is the best thing to happen to america,1
rt smart women know when obama said his policies would cause energy prices to skyrocket he meant it tcot sgp,-1
tonight obama will be focused and forceful leaving voters to wonder why he didn't know he should do that in the first debate,0
obama may need ground game51 of his backers are following elex very closely compared with 66 in 2008,0
i remember when obama first got elected niggas acted like it was the second coming of jesus,0
obama is working out next to me,0
pretty much rt if obama loses tonight expect the madness meltdown to breach containment,0
if obama wins i wanna move to new york,0
just once i want to hear obama say nigga please yeees,0
barack obama quietly gives himself control of all communication systems in america notobama obamavsamerica,-1
last kid voted 4 johnson but he would bk obama how does that make sense oh my god i could scream,0
thanksgiving obama turkey on google omg thats so wrong,0
okay obama it is time to put your game face on and get shit done,1
i'm actually beginning to feel sorry for obamanever mind it passed like smelly gas,-1
i agree we cant afford 4 more years of obama,-1
i feel you but thee next indie pres we will use this time next term after obm i fuck wt obama but the ent world should step to him,0
has anyone seen obama oh he's hiding behind hillary epicfail hillary will never see her fantasy of being potus weak,-1
cdn news muppets denounce democrats call obama a puppet ahead of the democratorganized conservative tcot,-1
new w intelligence syrian rebels dont have the numbers to win obama doesn't either debka obamassad,-1
rt gov gary johnson pulling votes from waste your vote obama must go,-1
bob beckel obama created 5 mil jobs so there where 28 mil people without jobs in january 09 are you kidding me bob,0
obama's sustained efforts to claim he's not responsible for anything belong in a letter of resignation not a reelection campaign,-1
reporter are you aware michelle voted for you yesterday obama thank goodness,0
